78,71,70,71,70,73,85,87,85,9.0
82,75,76,78,82,78,74,81,74,3.3333333333333335
73,87,65,66,67,64,73,77,73,3.0
75,72,70,70,82,70,81,85,87,1.6666666666666667
79,77,69,74,77,75,73,81,70,2.142857142857143
82,84,70,75,75,71,69,83,72,1.0
74,79,67,78,85,77,74,74,74,2.5714285714285716
69,78,66,60,64,59,67,73,66,3.357142857142857
61,66,57,73,85,73,71,79,72,2.0
76,70,65,71,72,64,77,81,77,1.3333333333333333
82,85,75,85,88,88,80,82,83,4.0
82,75,76,81,85,82,78,82,78,3.6666666666666665
74,79,67,74,74,74,78,85,77,2.3333333333333335
73,85,73,71,79,72,76,79,78,3.1666666666666665
63,65,59,63,71,67,68,73,65,2.0
74,84,65,81,90,76,77,81,77,4.666666666666667
65,70,49,79,77,69,74,77,75,0.75
71,74,69,79,81,79,69,71,70,2.5
74,77,71,70,69,72,71,77,71,1.0
82,85,75,80,82,83,85,87,85,5.4
68,76,61,87,73,71,73,79,78,1.0
78,77,68,73,77,65,69,83,72,1.3333333333333333
71,71,68,60,64,59,69,78,66,3.0
82,72,69,67,72,74,63,66,63,2.5
72,66,40,75,75,77,78,88,84,2.4
63,65,59,68,73,65,63,71,67,1.6
71,72,64,77,81,77,72,72,65,4.0
82,75,76,75,84,65,74,81,74,2.0
74,72,60,77,81,77,80,82,85,4.5
73,87,65,72,74,73,73,77,73,3.0
66,75,54,73,81,73,70,66,73,5.0
80,87,68,74,77,75,79,77,69,3.0
69,76,73,76,53,53,69,74,69,1.3333333333333333
64,71,53,68,71,66,68,74,70,2.0
74,77,71,71,77,71,70,69,72,2.8333333333333335
60,65,64,66,77,63,71,82,72,3.5
78,72,70,85,88,88,80,82,83,3.5
70,66,73,70,82,70,73,81,73,7.0
75,75,71,69,83,72,76,84,76,5.0
71,74,69,69,71,70,79,81,79,4.0
68,71,66,74,80,75,68,74,70,2.8
71,75,58,70,69,72,71,77,71,4.2
71,57,37,67,73,66,60,64,59,4.0
73,85,73,76,79,78,71,79,72,3.0
74,72,60,80,82,85,79,83,77,5.0
70,76,69,72,82,70,72,74,73,2.3333333333333335
73,71,63,71,80,71,73,79,78,3.0
75,63,32,75,75,77,72,77,72,1.0
63,65,59,64,72,64,63,71,67,3.0
65,72,51,66,64,66,66,77,63,1.0
70,76,69,72,74,73,72,82,70,4.125
73,71,63,73,79,78,71,80,71,5.0
65,72,51,66,77,63,71,76,67,1.0
77,85,72,78,76,83,77,81,77,5.5
93,94,95,85,87,85,80,82,83,4.0
76,76,56,70,82,70,73,81,73,2.0
78,77,68,77,76,67,73,77,72,0.0
73,78,65,74,76,84,79,81,79,2.0
68,71,66,74,80,75,65,67,66,1.5
76,59,41,69,78,66,67,73,66,1.0
68,69,64,68,86,67,63,66,63,5.0
74,72,60,81,90,76,77,81,77,4.333333333333333
73,71,63,87,73,71,71,80,71,3.0
74,79,67,74,74,74,76,75,81,1.5
68,73,61,69,74,69,76,53,53,2.0
75,81,73,75,75,77,78,88,84,5.8
59,62,53,63,71,67,68,73,65,1.0
72,84,49,71,82,72,66,77,63,2.75
77,85,72,71,72,64,77,81,77,8.0
82,75,76,78,82,78,81,85,82,3.125
76,76,56,73,81,73,70,82,70,3.25
78,75,73,77,76,67,73,77,65,2.5
73,78,65,69,71,70,74,76,84,2.0
68,71,66,73,80,76,68,74,70,6.0
74,77,71,80,82,80,70,69,72,4.0
69,78,66,69,77,60,67,73,66,3.6666666666666665
68,69,64,67,72,74,67,72,64,3.0
73,85,73,61,66,57,71,79,72,3.0
74,72,60,80,82,85,77,81,77,1.0
73,71,63,87,73,71,73,79,78,3.5
79,77,56,79,77,69,74,77,75,2.5
74,79,67,74,74,74,69,77,70,2.0
75,62,68,76,53,53,78,84,79,3.5
59,62,53,59,67,60,68,73,65,1.0
71,72,64,81,86,83,77,81,77,5.666666666666667
76,69,75,80,82,85,79,83,77,2.5
73,71,63,87,87,81,73,79,78,3.0
74,80,63,71,74,69,79,81,79,1.0
72,87,65,74,78,72,83,83,85,3.0
